Unnamed: 0,text,place,uri,collector,area,lat,lon,GPTnorm
105697,Γέλια σαν κομπολόγια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168435,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Γέλια σαν κομπολόγια
8413,Καρδίαν καθαράν θέλ' ο Θεός,Ήπειρος,http://hdl.handle.net/20.500.11853/167032,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Καρδία καθαρή θέλει ο Θεός
7684,Ο Θεός κι ο γείτονας,Ήπειρος,http://hdl.handle.net/20.500.11853/168991,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,Ο Θεός και ο γείτονας
18546,Θέλει να κρυφθή πίσω από το δάχτυλό του,Ήπειρος,http://hdl.handle.net/20.500.11853/273352,"Ζηκίδης, Γεώργιος Δ.",Ήπειρος,37.9982534,23.7378671,Θέλει να κρυφτεί πίσω από το δάχτυλό του
94001,Όλοι κλαίν' τα χάλια τ'ς κι ο μυλωνάς τη δέσι,Ήπειρος,http://hdl.handle.net/20.500.11853/204755,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Όλοι κλαίνε τα χάλια τους κι ο μυλωνάς τη δέση
106056,Σε ξένο φαγεί να μη βάνης άλας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204263,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Σε ξένο φαγί να μη βάζεις αλάτι
94075,Μου το βγαλε απ' τις μύτες,Ήπειρος,http://hdl.handle.net/20.500.11853/284327,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671,Μου το βγάλ' απ' τις μύτες
44818,Γίγκι για κουρκούτ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/271938,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Γύρνα για κουρκούτι
8319,Ειναι στα ολίστια,Ήπειρος,http://hdl.handle.net/20.500.11853/289049,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Είναι στα ολίσθια
1360,Όξ' απού θάνατου!,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/186423,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,Έξω από θάνατο!
4603,Τον ζουρλόν 'ς του χωριάτη ξένοι πόνοι τον γεράζουν,Ήπειρος,http://hdl.handle.net/20.500.11853/204823,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Τον ζουρλό στο χωριάτη ξένοι πόνοι τον γεράζουν
74643,"Η μοίρα που σε μοίρανε, θα σε μυρολογούσε",Ήπειρος,http://hdl.handle.net/20.500.11853/282913,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Η μοίρα που σε μοίρανε, θα σε μοιρολογούσε"
81669,Πέντε γρόσια ΄ς το πουγγί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/168360,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Πέντε γρόσια στο πουγγί
