Unnamed: 0,text,place,uri,collector,area,lat,lon,normtext,GPTnorm
105697,Γέλια σαν κομπολόγια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168435,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Γέλια σαν κομπολόγια,Γέλια σαν κομπολόγια
8413,Καρδίαν καθαράν θέλ' ο Θεός,Ήπειρος,http://hdl.handle.net/20.500.11853/167032,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Καρδίαν καθαράν θέλ' ο Θεός,Καριά καθαρά θέλει ο Θεός
7684,Ου Θεός κι ου γείτονας,Ήπειρος,http://hdl.handle.net/20.500.11853/168991,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671,Ο Θεός κι ο γείτονας,Ο Θεός και ο γείτονας
18546,Θέλει να κρυφθή πίσω από το δάχτυλό του,Ήπειρος,http://hdl.handle.net/20.500.11853/273352,"Ζηκίδης, Γεώργιος Δ.",Ήπειρος,37.9982534,23.7378671,Θέλει να κρυφθή πίσω από το δάχτυλό του,Θέλει να κρυφτεί πίσω από το δάχτυλό του
94001,Όλοι κλαίν' τα χάλια τ'ς κι ο μυλωνάς τη δέσι,Ήπειρος,http://hdl.handle.net/20.500.11853/204755,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Όλοι κλαίν' τα χάλια τ'ς κι ο μυλωνάς τη δέσι,Όλοι κλαίνε τα χάλια τους κι ο μυλωνάς τη δέση.
106056,Σε ξένο φαγεί να μη βάνης άλας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204263,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Σε ξένο φαγεί να μη βάνης άλας,Σε ξένο φαΐ να μη βάζεις αλάτι
94075,Μου το βγαλε απ' τις μύτες,Ήπειρος,http://hdl.handle.net/20.500.11853/284327,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671,Μου το βγαλε απ' τις μύτες,Μου το έβγαλε απ' τις μύτες
44818,Γίγκι για κουρκούτ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/271938,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Γίγκι για κουρκούτ',Γύρω για κουρκούτι
8319,Ειναι στα ολίστια,Ήπειρος,http://hdl.handle.net/20.500.11853/289049,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Ειναι στα ολίστια,Είναι στα ολίσθια
1360,Όξ' απού θάνατου!,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/186423,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,Όξ' απού θάνατου!,Έξω από θάνατο!
4603,Τον ζουρλόν 'ς του χωριάτη ξένοι πόνοι τον γεράζουν,Ήπειρος,http://hdl.handle.net/20.500.11853/204823,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Τον ζουρλόν 'ς του χωριάτη ξένοι πόνοι τον γεράζουν,Τον ζορλό στον χωριάτη ξένοι πόνοι τον γεράζουν
74643,"Η μοίρα που σε μοίρανε, θα σε μυρολογούσε",Ήπειρος,http://hdl.handle.net/20.500.11853/282913,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Η μοίρα που σε μοίρανε, θα σε μυρολογούσε","Η μοίρα που σε μοίρανε, θα σε μοιρολογούσε"
81669,Πέντε γρόσια ΄ς το πουγγί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/168360,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671,Πέντε γρόσια ΄ς το πουγγί,Πέντε γρόσια στο πουγγί
105986,Όλα διορθώνονται μονάχα του σπανού τα γένια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168490,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Όλα διορθώνονται μονάχα του σπανού τα γένια,Όλα διορθώνονται μονάχα του σπανού τα γένια
75080,Τον καταφέρνω,Ήπειρος,http://hdl.handle.net/20.500.11853/212979,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Τον καταφέρνω,Τον καταφέρνω
4435,Η κόττα γαργανίζοντας τα μάτια της θα βγάλη,Ήπειρος,http://hdl.handle.net/20.500.11853/271834,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Η κόττα γαργανίζοντας τα μάτια της θα βγάλη,Η κότα γαργαρίζοντας τα μάτια της θα βγάλει
45119,Μ'κρος πιρδάρ - μιγάλους γουμάρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/281862,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671,Μ'κρος πιρδάρ - μιγάλους γουμάρ',Μικρός περδάρ - μεγάλος γουμάρι
94019,Σαν να τον λάβωσ' ο λύκος,Ήπειρος,http://hdl.handle.net/20.500.11853/204751,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Σαν να τον λάβωσ' ο λύκος,Σαν να τον λάβωσε ο λύκος
8549,"Όποιος μ' θέλει το καλό, με κάν' και κλαίω, κι όποιος μ' θέλ' το κακό με κάν' και γελώ",Ήπειρος,http://hdl.handle.net/20.500.11853/203521,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,"Όποιος μ' θέλει το καλό, με κάν' και κλαίω, κι όποιος μ' θέλ' το κακό με κάν' και γελώ","Όποιος μου θέλει το καλό, με κάνει και κλαίω, κι όποιος μου θέλει το κακό με κάνει και γελώ"
74963,Σαν εκκλησιά 'ς την ερημιά που δεν την λειτουργούνε έστε είν' αυτός οπ' αγαπά και δεν τον αγαπούνε,Ήπειρος,http://hdl.handle.net/20.500.11853/152985,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Σαν εκκλησιά 'ς την ερημιά που δεν την λειτουργούνε έστε είν' αυτός οπ' αγαπά και δεν τον αγαπούνε,Σαν εκκλησία στην ερημιά που δεν τη λειτουργούνε έτσι είναι αυτός που αγαπά και δεν τον αγαπούνε
105833,Ή χήνα ή σκατίνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168391,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Ή χήνα ή σκατίνα,Η χήνα η σκατίνα
74756,"Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί",Ήπειρος,http://hdl.handle.net/20.500.11853/290369,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,"Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί","Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί"
104678,Ισιοζύγιαζε κι ακριβοπούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178257,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671,Ισιοζύγιαζε κι ακριβοπούλα,Ισοζύγιαζε κι ακριβοπούλα
1369,"Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν","Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/228131,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671,"Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν","Όσο ξύσεις τα σκατά, τόσο περισσότερο βρωμούν"
8484,Ξένο βιο καλολογάριασ' το,Ήπειρος,http://hdl.handle.net/20.500.11853/203472,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671,Ξένο βιο καλολογάριασ' το,Ξένο βιο καλολογάριασέ το
111997,"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους",Ήπειρος,http://hdl.handle.net/20.500.11853/256064,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671,"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους","Οι ζωντανοί με τους ζωντανούς, και οι πεθαμένοι με τους πεθαμένους"
94031,Της Κυριακής το όνειρο ως το γιόμα στρέει,Ήπειρος,http://hdl.handle.net/20.500.11853/204756,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671,Της Κυριακής το όνειρο ως το γιόμα στρέει,Της Κυριακής το όνειρο ως το γιόμα στρέει
106168,Φκειάνομε καλυβάκια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204323,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671,Φκειάνομε καλυβάκια,Φτιάχνουμε καλυβάκια
74249,Απόστολος παρήγορος χασάπικης ειρήνης,Ήπειρος,http://hdl.handle.net/20.500.11853/181673,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671,Απόστολος παρήγορος χασάπικης ειρήνης,Απόστολος παρήγορος χασαποειδούς ειρήνης
4616,Τούρθε σαν της κουκουβάγιας το πουλί,Ήπειρος,http://hdl.handle.net/20.500.11853/271841,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671,Τούρθε σαν της κουκουβάγιας το πουλί,Του ήρθε σαν της κουκουβάγιας το πουλί
