Unnamed: 0,text,place,uri,collector,area,lat,lon,normtext,GPTnorm
27312,Χρονιάρικον ταξείδιν είναι του ζευγά για πρώτα για ύστερα είν' τα κάνει δα;,Αμοργός,http://hdl.handle.net/20.500.11853/177548,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,Χρονιάρικον ταξείδιν είναι του ζευγά για πρώτα για ύστερα είν' τα κάνει δα;,"Χρονιάρικο ταξίδι είναι του ζευγά, για πρώτα, για ύστερα, τι τα κάνει τώρα;"
25839,Σάν κάμ' ο κασσίδης μαλλιά,Αμοργός,http://hdl.handle.net/20.500.11853/270684,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,Σάν κάμ' ο κασσίδης μαλλιά,Άμα κάνει ο κασίδης μαλλιά
23636,Με του Καρναπά τα βουνά θα ζήσωμεν;,Αμοργός,http://hdl.handle.net/20.500.11853/177450,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,Με του Καρναπά τα βουνά θα ζήσωμεν;,Με του Καρναβά τα βουνά θα ζήσουμε;
21033,"Γιά δέ κορμίν, κι΄ άπ΄ αζόηραν ήβγε ;",Αμοργός,http://hdl.handle.net/20.500.11853/144048,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,"Γιά δέ κορμίν, κι΄ άπ΄ αζόηραν ήβγε ;","Για δες κορμί, κι’ από ζωντανό βγήκε;"
21840,Εκαταντήθην ο Χριστός σ' ονούς παρά λιβάνι,Αμοργός,http://hdl.handle.net/20.500.11853/211302,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,Εκαταντήθην ο Χριστός σ' ονούς παρά λιβάνι,Κατάντησε ο Χριστός σε γαϊδούρια αντί για λιβάνι
22111,"Ευλογιά μπαίνει, ευλογιά βγαίνει",Αμοργός,http://hdl.handle.net/20.500.11853/161706,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,"Ευλογιά μπαίνει, ευλογιά βγαίνει","Ευλογιά μπαίνει, ευλογιά βγαίνει"
22166,"Η αγάπη θέλει φρόνηση, θέλει ταπεινωσύνη, θέλει λαού πορπατιξιά, πουλιού γληορωσύνη",Αμοργός,http://hdl.handle.net/20.500.11853/144337,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,"Η αγάπη θέλει φρόνηση, θέλει ταπεινωσύνη, θέλει λαού πορπατιξιά, πουλιού γληορωσύνη","Η αγάπη θέλει φρόνηση, θέλει ταπεινοσύνη, θέλει λαού περπατησιά, πουλιού γρηγοράδα"
20399,"Αν είχαμεν τυρί, δεν θα χρειαζούμεστεν προσφάϊ",Αμοργός,http://hdl.handle.net/20.500.11853/177868,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,"Αν είχαμεν τυρί, δεν θα χρειαζούμεστεν προσφάϊ","Αν είχαμε τυρί, δεν θα χρειαζόμασταν προσφάι"
23531,Μαύρος σαν το διάβολο,Αμοργός,http://hdl.handle.net/20.500.11853/279110,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,Μαύρος σαν το διάβολο,Μαύρος σαν τον διάβολο
21586,Έχομεν κι' εμείς στον τοίχο ρούχα!,Αμοργός,http://hdl.handle.net/20.500.11853/162065,"Ιωαννίδης, Εμμανουήλ",Αμοργός,36.85252415,25.89848696771565,Έχομεν κι' εμείς στον τοίχο ρούχα!,Έχουμε κι εμείς στον τοίχο ρούχα!
